node1,node2,how
AFG,CHN,land
AFG,IRN,land
AFG,PAK,land
AFG,TJK,land
AFG,TKM,land
AFG,UZB,land
AGO,COD,land
AGO,COG,land
AGO,NAM,land
AGO,ZMB,land
ALB,GRC,land
ALB,MKD,land
ALB,MNE,land
AND,ESP,land
ARE,OMN,land
ARE,SAU,land
ARG,BOL,land
ARG,BRA,land
ARG,CHL,land
ARG,PRY,land
ARG,URY,land
ARM,AZE,land
ARM,GEO,land
ARM,IRN,land
ARM,TUR,land
AUT,CHE,land
AUT,CZE,land
AUT,DEU,land
AUT,HUN,land
AUT,ITA,land
AUT,LIE,land
AUT,SVK,land
AUT,SVN,land
AZE,GEO,land
AZE,IRN,land
AZE,RUS,land
AZE,TUR,land
BDI,COD,land
BDI,RWA,land
BDI,TZA,land
BEL,DEU,land
BEL,LUX,land
BEL,NLD,land
BEN,BFA,land
BEN,NER,land
BEN,NGA,land
BEN,TGO,land
BFA,CIV,land
BFA,GHA,land
BFA,MLI,land
BFA,NER,land
BFA,TGO,land
BGD,IND,land
BGD,MMR,land
BGR,GRC,land
BGR,MKD,land
BGR,ROU,land
BGR,SRB,land
BGR,TUR,land
BIH,HRV,land
BIH,MNE,land
BIH,SRB,land
BLR,LTU,land
BLR,LVA,land
BLR,POL,land
BLR,RUS,land
BLR,UKR,land
BLZ,GTM,land
BLZ,MEX,land
BOL,BRA,land
BOL,CHL,land
BOL,PER,land
BOL,PRY,land
BRA,COL,land
BRA,GUY,land
BRA,PER,land
BRA,PRY,land
BRA,SUR,land
BRA,URY,land
BRA,VEN,land
BRN,MYS,land
BTN,CHN,land
BTN,IND,land
BWA,NAM,land
BWA,ZAF,land
BWA,ZMB,land
BWA,ZWE,land
CAF,CMR,land
CAF,COD,land
CAF,COG,land
CAF,SDN,land
CAF,SSD,land
CAF,TCD,land
CAN,USA,land
CHE,DEU,land
CHE,ITA,land
CHE,LIE,land
CHL,PER,land
CHN,HKG,land
CHN,IND,land
CHN,KAZ,land
CHN,KGZ,land
CHN,LAO,land
CHN,MMR,land
CHN,MNG,land
CHN,NPL,land
CHN,PAK,land
CHN,PRK,land
CHN,RUS,land
CHN,TJK,land
CHN,VNM,land
CIV,GHA,land
CIV,GIN,land
CIV,LBR,land
CIV,MLI,land
CMR,COG,land
CMR,GAB,land
CMR,GNQ,land
CMR,NGA,land
CMR,TCD,land
COD,COG,land
COD,RWA,land
COD,SSD,land
COD,TZA,land
COD,UGA,land
COD,ZMB,land
COG,GAB,land
COL,ECU,land
COL,PAN,land
COL,PER,land
COL,VEN,land
CRI,NIC,land
CRI,PAN,land
CZE,DEU,land
CZE,POL,land
CZE,SVK,land
DEU,DNK,land
DEU,LUX,land
DEU,NLD,land
DEU,POL,land
DJI,ERI,land
DJI,ETH,land
DOM,HTI,land
DZA,ESH,land
DZA,LBY,land
DZA,MAR,land
DZA,MLI,land
DZA,MRT,land
DZA,NER,land
DZA,TUN,land
ECU,PER,land
EGY,ISR,land
EGY,LBY,land
EGY,PSE,land
EGY,SDN,land
ERI,ETH,land
ERI,SDN,land
ESH,MAR,land
ESH,MRT,land
ESP,GIB,land
ESP,MAR,land
ESP,PRT,land
EST,LVA,land
EST,RUS,land
ETH,KEN,land
ETH,SDN,land
ETH,SOM,land
ETH,SSD,land
FIN,RUS,land
FIN,SWE,land
GAB,GNQ,land
GBR,IRL,land
GEO,RUS,land
GEO,TUR,land
GHA,TGO,land
GIN,GNB,land
GIN,LBR,land
GIN,MLI,land
GIN,SEN,land
GIN,SLE,land
GMB,SEN,land
GNB,SEN,land
GRC,MKD,land
GRC,TUR,land
GTM,HND,land
GTM,MEX,land
GTM,SLV,land
GUY,SUR,land
GUY,VEN,land
HND,NIC,land
HND,SLV,land
HRV,HUN,land
HRV,MNE,land
HRV,SRB,land
HRV,SVN,land
HUN,ROU,land
HUN,SRB,land
HUN,SVK,land
HUN,SVN,land
HUN,UKR,land
IDN,MYS,land
IDN,PNG,land
IDN,TLS,land
IND,MMR,land
IND,NPL,land
IND,PAK,land
IRN,IRQ,land
IRN,PAK,land
IRN,TKM,land
IRN,TUR,land
IRQ,JOR,land
IRQ,KWT,land
IRQ,SAU,land
IRQ,SYR,land
IRQ,TUR,land
ISR,JOR,land
ISR,LBN,land
ISR,PSE,land
ISR,SYR,land
ITA,SMR,land
ITA,SVN,land
ITA,VAT,land
JOR,PSE,land
JOR,SAU,land
JOR,SYR,land
KAZ,KGZ,land
KAZ,RUS,land
KAZ,TKM,land
KAZ,UZB,land
KEN,SOM,land
KEN,SSD,land
KEN,TZA,land
KEN,UGA,land
KGZ,TJK,land
KGZ,UZB,land
KHM,LAO,land
KHM,THA,land
KHM,VNM,land
KOR,PRK,land
KWT,SAU,land
LAO,MMR,land
LAO,THA,land
LAO,VNM,land
LBN,SYR,land
LBR,SLE,land
LBY,NER,land
LBY,SDN,land
LBY,TCD,land
LBY,TUN,land
LSO,ZAF,land
LTU,LVA,land
LTU,POL,land
LTU,RUS,land
LVA,RUS,land
MAF,SXM,land
MDA,ROU,land
MDA,UKR,land
MEX,USA,land
MKD,SRB,land
MLI,MRT,land
MLI,NER,land
MLI,SEN,land
MMR,THA,land
MNE,SRB,land
MNG,RUS,land
MOZ,MWI,land
MOZ,SWZ,land
MOZ,TZA,land
MOZ,ZAF,land
MOZ,ZMB,land
MOZ,ZWE,land
MRT,SEN,land
MWI,TZA,land
MWI,ZMB,land
MYS,THA,land
NAM,ZAF,land
NAM,ZMB,land
NAM,ZWE,land
NER,NGA,land
NER,TCD,land
NGA,TCD,land
OMN,SAU,land
OMN,YEM,land
POL,RUS,land
POL,SVK,land
POL,UKR,land
PRK,RUS,land
QAT,SAU,land
ROU,SRB,land
ROU,UKR,land
RUS,UKR,land
RWA,TZA,land
RWA,UGA,land
SAU,YEM,land
SDN,SSD,land
SDN,TCD,land
SSD,UGA,land
SVK,UKR,land
SWZ,ZAF,land
SYR,TUR,land
TJK,UZB,land
TKM,UZB,land
TZA,UGA,land
TZA,ZMB,land
ZAF,ZWE,land
ZMB,ZWE,land
ABW,CUW,sea
ABW,VEN,sea
AGO,COD,sea
AGO,COG,sea
AGO,NAM,sea
AIA,ATG,sea
AIA,BES,sea
AIA,BLM,sea
AIA,MAF,sea
AIA,VGB,sea
AIA,VIR,sea
ALB,GRC,sea
ALB,MNE,sea
ARE,OMN,sea
ARE,QAT,sea
ASM,COK,sea
ASM,NIU,sea
ASM,TKL,sea
ASM,TON,sea
ASM,WSM,sea
ATF,HMD,sea
ATF,MDG,sea
ATF,MOZ,sea
ATG,BLM,sea
ATG,GLP,sea
ATG,KNA,sea
ATG,MSR,sea
AZE,KAZ,sea
AZE,TKM,sea
BEL,NLD,sea
BEN,NGA,sea
BEN,TGO,sea
BES,BLM,sea
BES,CUW,sea
BES,KNA,sea
BES,MAF,sea
BES,SXM,sea
BES,VEN,sea
BES,VIR,sea
BGD,IND,sea
BGD,MMR,sea
BGR,ROU,sea
BGR,TUR,sea
BGR,UKR,sea
BHR,QAT,sea
BLM,KNA,sea
BLM,MAF,sea
BLM,SXM,sea
BRA,URY,sea
BRB,GUY,sea
BRB,LCA,sea
BRB,MTQ,sea
BRB,TTO,sea
BRB,VCT,sea
CAN,GRL,sea
CAN,SPM,sea
CHL,PER,sea
CHN,JPN,sea
CHN,KOR,sea
CHN,PRK,sea
CHN,TWN,sea
CHN,VNM,sea
CIV,GHA,sea
CIV,LBR,sea
CMR,GNQ,sea
CMR,NGA,sea
COD,COG,sea
COG,GAB,sea
COK,KIR,sea
COK,NIU,sea
COK,PYF,sea
COK,TKL,sea
COL,CRI,sea
COL,DOM,sea
COL,ECU,sea
COL,HTI,sea
COL,JAM,sea
COL,NIC,sea
COL,PAN,sea
COL,VEN,sea
COM,MDG,sea
COM,MOZ,sea
COM,MYT,sea
COM,SYC,sea
COM,TZA,sea
CPV,GMB,sea
CPV,MRT,sea
CPV,SEN,sea
CRI,PAN,sea
CUB,CYM,sea
CUB,HND,sea
CUB,HTI,sea
CUB,JAM,sea
CUB,MEX,sea
CUW,DOM,sea
CUW,VEN,sea
CYM,HND,sea
CYM,JAM,sea
CYP,EGY,sea
CYP,GRC,sea
CYP,ISR,sea
CYP,LBN,sea
CYP,SYR,sea
CYP,TUR,sea
DJI,ERI,sea
DJI,YEM,sea
DMA,GLP,sea
DMA,MTQ,sea
DMA,VEN,sea
DOM,HTI,sea
DOM,PRI,sea
DOM,TCA,sea
DOM,VEN,sea
DOM,VGB,sea
DZA,ESP,sea
DZA,MAR,sea
DZA,TUN,sea
ECU,PER,sea
EGY,GRC,sea
EGY,ISR,sea
EGY,JOR,sea
EGY,LBY,sea
ERI,SDN,sea
ERI,YEM,sea
ESH,MRT,sea
ESP,GIB,sea
ESP,MAR,sea
ESP,PRT,sea
EST,FIN,sea
FJI,TUV,sea
FJI,WLF,sea
FRA,ITA,sea
FSM,PNG,sea
GAB,GNQ,sea
GAB,STP,sea
GBR,IMN,sea
GBR,NLD,sea
GBR,NOR,sea
GEO,TUR,sea
GGY,JEY,sea
GHA,TGO,sea
GIN,GNB,sea
GIN,SLE,sea
GLP,MSR,sea
GLP,MTQ,sea
GLP,VEN,sea
GMB,SEN,sea
GNB,SEN,sea
GNQ,NGA,sea
GNQ,STP,sea
GRC,TUR,sea
GRD,TTO,sea
GRD,VCT,sea
GRD,VEN,sea
GRL,ISL,sea
GRL,SJM,sea
GTM,HND,sea
GTM,MEX,sea
GTM,SLV,sea
GUM,MNP,sea
GUY,TTO,sea
GUY,VEN,sea
HND,JAM,sea
HND,MEX,sea
HND,NIC,sea
HND,SLV,sea
HRV,SVN,sea
HTI,JAM,sea
HTI,TCA,sea
IDN,PHL,sea
IDN,THA,sea
IND,LKA,sea
IND,PAK,sea
ISL,SJM,sea
ISR,JOR,sea
ISR,LBN,sea
ISR,PSE,sea
JAM,NIC,sea
JPN,KOR,sea
JPN,MNP,sea
JPN,TWN,sea
KAZ,TKM,sea
KHM,VNM,sea
KIR,PYF,sea
KIR,TKL,sea
KIR,TUV,sea
KIR,UMI,sea
KNA,MSR,sea
KNA,VEN,sea
KOR,PRK,sea
LBN,SYR,sea
LBR,SLE,sea
LCA,MTQ,sea
LCA,VCT,sea
LCA,VEN,sea
LTU,LVA,sea
LTU,SWE,sea
LVA,SWE,sea
MAF,SXM,sea
MAR,PRT,sea
MDG,MOZ,sea
MDG,MYT,sea
MDG,REU,sea
MDG,SYC,sea
MLT,TUN,sea
MOZ,TZA,sea
MOZ,ZAF,sea
MRT,SEN,sea
MSR,VEN,sea
MTQ,VEN,sea
MUS,REU,sea
MUS,SYC,sea
MYT,SYC,sea
NAM,ZAF,sea
NCL,NFK,sea
NGA,STP,sea
NIC,PAN,sea
NIC,SLV,sea
NIU,TON,sea
NOR,RUS,sea
OMN,PAK,sea
OMN,YEM,sea
PCN,PYF,sea
PRI,VEN,sea
PRI,VGB,sea
PRI,VIR,sea
ROU,TUR,sea
ROU,UKR,sea
SYR,TUR,sea
TKL,WSM,sea
TON,WSM,sea
TTO,VCT,sea
TTO,VEN,sea
TUR,UKR,sea
TUV,WLF,sea
VCT,VEN,sea
VEN,VIR,sea
VGB,VIR,sea
